name;last_date;level
Semiconductor physics (20 Sep);2023-10-22;0.5457142857142857
Semiconductor physics (27 Sep);2023-10-30;0.5816666666666667
Semiconductor physics (04 Oct);2023-10-30;0.465
Semiconductor physics (11 Oct);2023-11-05;0.4
Semiconductor physics (18 Oct);2023-10-30;0.38
Semiconductor physics (25 Oct);2023-11-05;0.0
Semiconductor physics (01 Nov);2023-11-05;0.0
Semiconductor physics (08 Nov);2023-11-08;0.0
Semiconductor physics (15 Nov);2023-11-15;0.0
Semiconductor physics (22 Nov);2023-11-22;0.0
Semiconductor physics (29 Nov);2023-11-29;0.0
Semiconductor physics (06 Dec);2023-12-06;0.0
Semiconductor physics (13 Dec);2023-12-13;0.0
ADA (20 Sep);2023-10-22;0.5457142857142857
ADA (27 Sep);2023-11-02;0.5566666666666666
ADA (04 Oct);2023-11-02;0.4275
ADA (11 Oct);2023-11-02;0.35
ADA (18 Oct);2023-11-02;0.32
ADA (25 Oct);2023-11-05;0.0
ADA (01 Nov);2023-11-05;0.15000000000000002
ADA (08 Nov);2023-11-08;0.0
ADA (15 Nov);2023-11-15;0.0
ADA (22 Nov);2023-11-22;0.0
ADA (29 Nov);2023-11-29;0.0
ADA (06 Dec);2023-12-06;0.0
ADA (13 Dec);2023-12-13;0.0
Quantum computing (21 Sep);2023-10-22;0.5557142857142857
Quantum computing (28 Sep);2023-10-30;0.5599999999999999
Quantum computing (05 Oct);2023-10-30;0.475
Quantum computing (12 Oct);2023-11-05;0.4
Quantum computing (19 Oct);2023-11-05;0.0
Quantum computing (26 Oct);2023-11-05;0.0
Quantum computing (02 Nov);2023-11-05;0.0
Quantum computing (09 Nov);2023-11-09;0.0
Quantum computing (16 Nov);2023-11-16;0.0
Quantum computing (23 Nov);2023-11-23;0.0
Quantum computing (30 Nov);2023-11-30;0.0
Quantum computing (07 Dec);2023-12-07;0.0
Quantum computing (14 Dec);2023-12-14;0.0
Particle accelerators (21 Sep);2023-10-22;0.5557142857142857
Particle accelerators (28 Sep);2023-10-30;0.5599999999999999
Particle accelerators (05 Oct);2023-10-30;0.475
Particle accelerators (12 Oct);2023-11-05;0.2833333333333333
Particle accelerators (19 Oct);2023-11-05;0.0
Particle accelerators (26 Oct);2023-11-05;0.0
Particle accelerators (02 Nov);2023-11-05;0.0
Particle accelerators (09 Nov);2023-11-09;0.0
Particle accelerators (16 Nov);2023-11-16;0.0
Particle accelerators (23 Nov);2023-11-23;0.0
Particle accelerators (30 Nov);2023-11-30;0.0
Particle accelerators (07 Dec);2023-12-07;0.0
Particle accelerators (14 Dec);2023-12-14;0.0
Nanoscience (21 Sep);2023-10-22;0.5557142857142857
Nanoscience (28 Sep);2023-10-30;0.5599999999999999
Nanoscience (05 Oct);2023-10-30;0.475
Nanoscience (12 Oct);2023-11-05;0.0
Nanoscience (19 Oct);2023-11-05;0.2833333333333333
Nanoscience (26 Oct);2023-11-05;0.0
Nanoscience (02 Nov);2023-11-05;0.0
Nanoscience (09 Nov);2023-11-09;0.0
Nanoscience (16 Nov);2023-11-16;0.0
Nanoscience (23 Nov);2023-11-23;0.0
Nanoscience (30 Nov);2023-11-30;0.0
Nanoscience (07 Dec);2023-12-07;0.0
Nanoscience (14 Dec);2023-12-14;0.0
Experimental methods (22 Sep);2023-10-30;0.4914285714285714
Experimental methods (29 Sep);2023-11-02;0.57
Experimental methods (06 Oct);2023-10-30;0.475
Experimental methods (13 Oct);2023-11-05;0.4
Experimental methods (20 Oct);2023-11-05;0.0
Experimental methods (27 Oct);2023-11-05;0.0
Experimental methods (03 Nov);2023-11-05;0.0
Experimental methods (10 Nov);2023-11-10;0.0
Experimental methods (17 Nov);2023-11-17;0.0
Experimental methods (24 Nov);2023-11-24;0.0
Experimental methods (01 Dec);2023-12-01;0.0
Experimental methods (08 Dec);2023-12-08;0.0
Experimental methods (15 Dec);2023-12-15;0.0
Nuclear interaction (25 Sep);2023-10-30;0.5625
Nuclear interaction (02 Oct);2023-11-02;0.57
Nuclear interaction (09 Oct);2023-10-30;0.475
Nuclear interaction (16 Oct);2023-10-30;0.38
Nuclear interaction (23 Oct);2023-11-05;0.0
Nuclear interaction (30 Oct);2023-11-05;0.0
Nuclear interaction (06 Nov);2023-11-06;0.0
Nuclear interaction (13 Nov);2023-11-13;0.0
Nuclear interaction (20 Nov);2023-11-20;0.0
Nuclear interaction (27 Nov);2023-11-27;0.0
Nuclear interaction (04 Dec);2023-12-04;0.0
Nuclear interaction (11 Dec);2023-12-11;0.0
Nuclear interaction (18 Dec);2023-12-18;0.0
Astrophysics (26 Sep);2023-10-30;0.5633333333333334
Astrophysics (29 Sep);2023-10-30;0.57
Astrophysics (06 Oct);2023-11-02;0.4375
Astrophysics (17 Oct);2023-11-05;0.0
Astrophysics (20 Oct);2023-11-05;0.0
Astrophysics (27 Oct);2023-11-05;0.0
Astrophysics (03 Nov);2023-11-05;0.0
Astrophysics (10 Nov);2023-11-10;0.0
Astrophysics (17 Nov);2023-11-17;0.0
Astrophysics (24 Nov);2023-11-24;0.0
Astrophysics (01 Dec);2023-12-01;0.0
Astrophysics (08 Dec);2023-12-08;0.0
Astrophysics (15 Dec);2023-12-15;0.0
